"","Model","df","logLik","AIC","AICw","AICc","AICcw","BIC"
"33","TPM1u",24,-1350.90680065116,2749.81360130232,0.0727648412944842,2751.24387543819,0.0775769287429379,2864.09134775361
"34","TPM1u+I",25,-1350.05135557038,2750.10271114077,0.0629712309223986,2751.65402378993,0.0631931492352666,2869.14203036087
"35","TPM1u+G(4)",25,-1350.11175590466,2750.22351180931,0.0592803352178697,2751.77482445848,0.0594892463632467,2869.26283102942
"36","TPM1u+G(4)+I",26,-1350.0641095029,2752.1282190058,0.0228722420449132,2753.80563836064,0.0215502757382355,2875.92911099471
"37","TPM2",21,-1381.5825543422,2805.16510868439,6.95816104101063e-14,2806.26249585779,8.76175201011294e-14,2905.15813682928
"38","TPM2+I",22,-1380.82159044912,2805.64318089823,5.47876173285385e-14,2806.84651026803,6.54295357821404e-14,2910.39778181192
"39","TPM2+G(4)",22,-1380.83667738406,2805.67335476812,5.39672441296539e-14,2806.87668413791,6.44498137174036e-14,2910.4279556818
"40","TPM2+G(4)+I",23,-1380.82831647542,2807.65663295084,2.00201282700601e-14,2808.97091866512,2.26185321169906e-14,2917.17280663333
"41","TPM2u",24,-1352.15924512966,2752.31849025933,0.0207965771025245,2753.74876439521,0.022171897186586,2866.59623671063
"42","TPM2u+I",25,-1351.26986633835,2752.5397326767,0.0186187139656926,2754.09104532587,0.0186843285889184,2871.5790518968
"43","TPM2u+G(4)",25,-1351.31975704037,2752.63951408075,0.0177126044165846,2754.19082672991,0.0177750257990326,2871.67883330085
"44","TPM2u+G(4)+I",26,-1351.28256404085,2754.56512808169,0.00676301975483144,2756.24254743653,0.00637213178548734,2878.3660200706
"45","TPM3",21,-1381.60348459106,2805.20696918212,6.81403852023312e-14,2806.30435635552,8.58027219401179e-14,2905.19999732701
"46","TPM3+I",22,-1380.8388569166,2805.67771383319,5.38497488539089e-14,2806.88104320299,6.43094962200667e-14,2910.43231474688
"47","TPM3+G(4)",22,-1380.8547251417,2805.7094502834,5.30019928972146e-14,2806.9127796532,6.32970725848056e-14,2910.46405119709
"48","TPM3+G(4)+I",23,-1380.84558941666,2807.69117883332,1.96772911969893e-14,2809.0054645476,2.22311983674989e-14,2917.20735251581
"49","TPM3u",24,-1352.27544320127,2752.55088640254,0.0185151689467526,2753.98116053841,0.0197396148537269,2866.82863285384
"50","TPM3u+I",25,-1351.38348606689,2752.76697213378,0.0166190141995523,2754.31828478294,0.0166775816364385,2871.80629135388
"51","TPM3u+G(4)",25,-1351.4345806362,2752.8691612724,0.015791201285475,2754.42047392157,0.0158468514084931,2871.9084804925
"52","TPM3u+G(4)+I",26,-1351.39662662678,2754.79325325356,0.00603398052790861,2756.4706726084,0.00568522945499757,2878.59414524247
"53","TIM1e",22,-1380.15338701525,2804.30677403049,1.06875824423774e-13,2805.51010340029,1.27635329283403e-13,2909.06137494418
"54","TIM1e+I",23,-1379.42348250861,2804.84696501721,8.15790221785855e-14,2806.1612507315,9.21671284183776e-14,2914.36313869971
"55","TIM1e+G(4)",23,-1379.43247217006,2804.86494434011,8.08489408962505e-14,2806.1792300544,9.13422902000729e-14,2914.38111802261
"56","TIM1e+G(4)+I",24,-1379.42792637129,2806.85585274258,2.98781751294919e-14,2808.28612687846,3.18540798241982e-14,2921.13359919388
"57","TIM1",25,-1349.9380249429,2749.8760498858,0.0705279156106931,2751.42736253496,0.0707764646038311,2868.9153691059
"58","TIM1+I",26,-1349.21819421671,2750.43638843342,0.0532948297547234,2752.11380778826,0.0502145034308973,2874.23728042233
"59","TIM1+G(4)",26,-1349.22486230454,2750.44972460908,0.0529406373544868,2752.12714396392,0.0498807825882052,2874.25061659798
"60","TIM1+G(4)+I",27,-1349.21758647414,2752.43517294828,0.0196179912537439,2754.24378538847,0.0173105319210108,2880.99763770599
"61","TIM2e",22,-1381.51286934315,2807.02573868629,2.74450359867923e-14,2808.22906805609,3.27759455822253e-14,2911.78033959998
"62","TIM2e+I",23,-1380.76884980499,2807.53769960999,2.12467693109492e-14,2808.85198532427,2.40043783715753e-14,2917.05387329248
"63","TIM2e+G(4)",23,-1380.78042869769,2807.56085739538,2.10021740528304e-14,2808.87514310967,2.37280371999906e-14,2917.07703107787
"64","TIM2e+G(4)+I",24,-1380.7728266196,2809.5456532392,7.78522757052313e-15,2810.97592737507,8.30008055733655e-15,2923.82339969049
"65","TIM2",25,-1351.18850595614,2752.37701191228,0.0201968688367364,2753.92832456145,0.0202680450705787,2871.41633113239
"66","TIM2+I",26,-1350.4377322323,2752.8754644646,0.0157415121383077,2754.55288381944,0.0148316866554303,2876.6763564535
"67","TIM2+G(4)",26,-1350.4493899522,2752.8987799044,0.0155590675094002,2754.57619925924,0.0146597869329547,2876.6996718933
"68","TIM2+G(4)+I",27,-1350.43645383975,2754.8729076795,0.00579838656671638,2756.68152011969,0.00511638293927514,2883.43537243721
"69","TIM3e",22,-1381.53382285948,2807.06764571896,2.68759489852208e-14,2808.27097508875,3.20963194158017e-14,2911.82224663264
"70","TIM3e+I",23,-1380.78602010716,2807.57204021432,2.08850699914214e-14,2808.8863259286,2.35957342527627e-14,2917.08821389681
"71","TIM3e+G(4)",23,-1380.7983013694,2807.59660273881,2.06301435831065e-14,2808.91088845309,2.33077210554365e-14,2917.1127764213
"72","TIM3e+G(4)+I",24,-1380.78999667998,2809.57999335995,7.65269578840567e-15,2811.01026749583,8.15878417800562e-15,2923.85773981125
"73","TIM3",25,-1351.30600231495,2752.6120046299,0.0179579196812941,2754.16331727906,0.0180212055847125,2871.65132385
"74","TIM3+I",26,-1350.55738459998,2753.11476919996,0.0139663231217536,2754.7921885548,0.0131590997389791,2876.91566118887
"75","TIM3+G(4)",26,-1350.5689456987,2753.13789139741,0.0138057868572431,2754.81531075225,0.0130078421246449,2876.93878338631
"76","TIM3+G(4)+I",27,-1350.55661727427,2755.11323454854,0.00514186711875162,2756.92184698873,0.00453708301433561,2883.67569930625
"77","TVMe",23,-1380.19770151615,2806.39540303229,3.76131280692174e-14,2807.70968874658,4.24949198016061e-14,2915.91157671479
"78","TVMe+I",24,-1379.45058660344,2806.90117320688,2.92087421433973e-14,2808.33144734276,3.11403758685988e-14,2921.17891965818
"79","TVMe+G(4)",24,-1379.48022760302,2806.96045520604,2.83556712245564e-14,2808.39072934191,3.02308896290046e-14,2921.23820165733
"80","TVMe+G(4)+I",25,-1379.45803663406,2808.91607326811,1.06655404135165e-14,2810.46738591728,1.0703127081265e-14,2927.95539248821
"81","TVM",26,-1350.77785698822,2753.55571397645,0.0112029434547014,2755.23313333128,0.010555437462344,2877.35660596535
"82","TVM+I",27,-1349.91325896847,2753.82651793694,0.00978425608581771,2755.63513037713,0.00863343627317447,2882.38898269465
"83","TVM+G(4)",27,-1349.97648043838,2753.95296087677,0.00918482900813648,2755.76157331696,0.00810451353953123,2882.51542563448
"84","TVM+G(4)+I",28,-1349.92642728012,2755.85285456023,0.00355233900202749,2757.79776473987,0.00292801705866842,2889.17689208675
"85","SYM",24,-1380.12812531975,2808.2562506395,1.48341111562757e-14,2809.68652477537,1.58151211995079e-14,2922.5339970908
"86","SYM+I",25,-1379.39758457564,2808.79516915128,1.13301813460466e-14,2810.34648180044,1.13701102896606e-14,2927.83448837138
"87","SYM+G(4)",25,-1379.43686090691,2808.87372181381,1.08937992310099e-14,2810.42503446298,1.09321903107245e-14,2927.91304103391
"88","SYM+G(4)+I",26,-1379.40227452707,2810.80454905413,4.1486381730382e-15,2812.48196840897,3.90885582583393e-15,2934.60544104304
"89","GTR",27,-1349.80760982166,2753.61521964332,0.0108745339272641,2755.42383208351,0.0095954761238919,2882.17768440103
"90","GTR+I",28,-1349.07679276771,2754.15358553543,0.00830818167073999,2756.09849571507,0.00684802256894927,2887.47762306194
"91","GTR+G(4)",28,-1349.12122883052,2754.24245766103,0.00794708114705003,2756.18736784067,0.00655038529597086,2887.56649518755
"92","GTR+G(4)+I",29,-1349.07620151338,2756.15240302675,0.00305821687973259,2758.238733962,0.00234865027259319,2894.23801332207
